URL,Pantry Name,Address,City,Zip,Latitude,Longitude,Phone,Email,Eligibility,Supported Diets,Comments,Open Monday,Close Monday,Open Tuesday,Close Tuesday,Open Wednesday,Close Wednesday,Open Thursday,Close Thursday,Open Friday,Close Friday,Open Saturday,Close Saturday,Open Sunday,Close Sunday,Varied Hours?,State
https://www.tolministries.org/branches/food/,Tree of Life: Community Dinner,115 East Main Street,Purcellville,20132,39.13699833,-77.71451662,(540) 441-7920,info@tolministries.org,ANY,,Join us every THURSDAY evening for a sit-down FREE MEAL. We are on site serving meals starting at 5:30 pm until supplies last.,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,5:30:00 PM,,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,Yes,VA
https://www.tolministries.org/branches/food/,Tree of Life: Community Dinner,120 Enterprise St,Sterling,20164,38.99887972,-77.40201992,(540) 441-7920,info@tolministries.org,ANY,,Join us every TUESDAY evening for a sit down FREE MEAL. We are on site serving meals starting at 6:30PM until supplies last.,CLOSED,CLOSED,6:30:00 PM,,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,Yes,VA
https://www.capitalareafoodbank.org/what-we-do/direct-food-distribution-programs/community-marketplaces/,Capital Area Food Bank: Southgate Community Center,12125 Pinecrest Rd,Reston,20191,38.94179263,-77.36571349,(202) 644-9807,hungerlifeline@capitalareafoodbank.org,,ANY,"Only open on the SECOND Saturday of each month. Participating in a Community Marketplace is simple. We recommend arriving to your area’s marketplace around 9 a.m. on the day of the distribution, with a container to hold your produce. We suggest a reusable shopping bag or a rolling cart. Stop by the registration desk and fill out the registration form, which asks for contact information, household information, and a few other details. Once that’s finished, we’ll give you a key card, just like the ones you get at a grocery store. Keep this key card and bring it to every Community Marketplace that you attend to enter the marketplace.",CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,8:30:00 AM,,CLOSED,CLOSED,Yes,VA
https://www.capitalareafoodbank.org/what-we-do/direct-food-distribution-programs/community-marketplaces/,Capital Area Food Bank: Rosedale Recreation Center,1701 Gales Street NE Ward 7 ,Washington,20002,38.89727827,-76.97898345,(202) 644-9807,hungerlifeline@capitalareafoodbank.org,,ANY,"Only open on the FIRST Saturday of each month. Participating in a Community Marketplace is simple. We recommend arriving to your area’s marketplace around 9 a.m. on the day of the distribution, with a container to hold your produce. We suggest a reusable shopping bag or a rolling cart. Stop by the registration desk and fill out the registration form, which asks for contact information, household information, and a few other details. Once that’s finished, we’ll give you a key card, just like the ones you get at a grocery store. Keep this key card and bring it to every Community Marketplace that you attend to enter the marketplace.",CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,8:30:00 AM,,CLOSED,CLOSED,Yes,DC
https://www.alive-inc.org/food-program-in-alexandria-virginia/,ALIVE! Community Fresh Market: Leonard “Chick” Armstrong Recreation Center,3600 Commonwealth Ave,Alexandria,22305,38.83785,-77.058,(703) 837-9300,,"20598,22301,22302,22303,22304,22305,22306,22307,22308,22309",NONE,"ALIVE! distributes free bags of groceries (produce, chicken, eggs, bread) at multiple locations on the LAST Saturday of the month from 8:30 am – 10:30 am. Please bring reusable bags. ALIVE! food distributions are for City of Alexandria residents. Proof of Alexandria City residency may be requested.",CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,8:30:00 AM,10:30:00 AM,CLOSED,CLOSED,Yes,VA
https://southernusa.salvationarmy.org/nca/arlington-va/,The Salvation Army: Arlington Corps,518 South Glebe Road,Arlington,22204,38.8665,-77.0954,(703) 979-3380,,"20598,22201, 22202,22203,22204,22205,22206,22207,22209,22210",,"Requires application here: https://sahelp.org/. Food distribution takes place on the FIRST and SECOND Thursday of the month, open between the specified hours, while supplies last. Closed from 11:30 - 13:30. Offers fluent Spanish speakers.",CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,9:30:00 AM,3:30:00 PM,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,Yes,VA
https://abidingpresence.net/food,Abiding Presence Lutheran Church,6304 Lee Chapel Road,Burke,22015,38.78101,-77.2771,(703) 455-7500,office@abidingpresence.net,ANY,,"Only open on the SECOND and FOURTH Saturdays of each month. Must arrive by 7:00am to receive pantry goods. Must be over 18. You may only pick up food for your household. Abiding Presence offers a “no questions asked” food pantry for anyone in need. This is our primary method of offering assistance. We are not able to provide rental, gas, clothing, gift card or cash assistance. ",CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,7:00:00 AM,10:30:00 AM,CLOSED,CLOSED,Yes,VA
https://centreville-umc.org/local-outreach/food-ministries/grace-ministries/,Centreville United Methodist Church,6400 Old Centreville Rd,Centreville,20121,38.82568,-77.4398,(703) 830-2684,,,,Only open on the SECOND Saturday of each month. Lines begin to form before 7:00am. ,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,7:00:00 AM,9:30:00 AM,CLOSED,CLOSED,Yes,VA
https://loudounhunger.org/,Loudoun Hunger Relief: Mobile Market,65 Sugarland Run Dr.,Sterling,20164,39.03676,-77.3828,(703) 777-5911,info@loudounhunger.org,"20180,20132,20197,20176,20141,20158,20129,20175,20135,20184,20130,20117,20105,20152,20120,20151,20166,20170,20148,20164,22066,20165,20147,20200",ANY,"No appointment required. First come, first served, while supplies last. End time is subject to food availability.",CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,10:00:00 AM,,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,Yes,VA
https://www.unitedcommunity.org/programs/cynthia-hull-food-pantry/,Cynthia Hull Food Pantry,7511 Fordson Road,Alexandria,22306,38.75381921,-77.08519172,(703) 768-7106,info@unitedcommunity.org,"22303,22306,22307,22308,22309,22310",ANY,"Please bring the following when registering for food assistance: Universal Intake/TEFAP Form; Photo ID for all adults and birth certificates for children under 18; Proof of Address (e.g., lease or utility bill); Proof of Income -- two recent pay stubs or income letter from employer; documentation of any other income assistance (SSI, SSDI, TANF, SNAP, child support)",10:00:00 AM,1:00:00 PM,12:00:00 PM,3:00:00 PM,2:00:00 PM,5:00:00 PM,12:00:00 PM,3:00:00 PM,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,N/A,VA
https://foodforothers.org/get-help/neighborhood-sites/,Food for Others: Summit Oaks,10550 Oak Bluff Ct,Burke,22015,38.7978259,-77.30783174,(703) 207-9173,info@foodforothers.org,ANY,,"Must be there at the listed time. If you are in need of food, one of the ways you can receive food is through our neighborhood sites. Neighborhood sites provide supplemental food. You may come to one of the following neighborhood sites at the times specified. The only question that is asked is, “How many people are in your household?” Please bring your own grocery bags.",CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,6:30:00 PM,6:30:00 PM,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,N/A,VA
https://foodforothers.org/get-help/neighborhood-sites/,Food for Others: Crevenna Oak,10955 Crevenna Oak Dr,Burke,22015,38.7960884,-77.3231978,(703) 207-9173,info@foodforothers.org,ANY,,"Must be there at the listed time. In the parking lot of the specified address. If you are in need of food, one of the ways you can receive food is through our neighborhood sites. Neighborhood sites provide supplemental food. You may come to one of the following neighborhood sites at the times specified. The only question that is asked is, “How many people are in your household?” Please bring your own grocery bags.",CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,6:00:00 PM,7:00:00 PM,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,N/A,VA
https://ccda.net/find-help/food/sterling-food-pantry/,Catholic Charities Loudoun Regional Office (LRO),"113 Executive Drive, Building #2, Suite 110",Sterling,20166,38.99007038,-77.4439262,(703) 443-6693,LROpantry@ccda.net,,,Clients are eligible to receive food once every 30 days. Picture ID and Proof of current address required at every visit.By Appointment only – schedule your appointment by using this link: https://food-pantry-appointment.as.me/schedule/dd935c2f,10:00:00 AM,2:00:00 PM,10:00:00 AM,2:00:00 PM,10:00:00 AM,12:00:00 PM,10:00:00 AM,2:00:00 PM,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,Yes,VA
https://www.tolministries.org/food-pantry/,Tree of Life: Western Loudoun Pantry,115 East Main Street,Purcellville,20132,39.13699833,-77.71451662,(540) 441-7920,info@tolministries.org,"20180,20132,20197,20176,20141,20158,20129,20175,20135,20184,20130,20117,20105,20152,20120,20151,20166,20170,20148,20164,22066,20165,20147,20198, 20130,20135,22611,22620,22663,20130,20185",ANY,"Serving All of Loudoun + Northern Fauquier and Clarke Counties. Tree of Life's Food Pantries provide free groceries to those in need.  Once a month, those in need can call in to request food and receive two to three weeks' worth of groceries from one our regional Food Pantries. In most cases, we are able to deliver the food directly to the home of the person in need. Consideration is given to food preferences and allergies.",9:00:00 AM,2:00:00 PM,9:00:00 AM,2:00:00 PM,9:00:00 AM,2:00:00 PM,9:00:00 AM,2:00:00 PM,9:00:00 AM,2:00:00 PM,CLOSED,CLOSED,CLOSED,CLOSED,Yes,VA
https://cho-va.com/,Committee for Helping Others,124 Park St. NE,Vienna,22180,38.90385177,-77.26415486,(703) 281-7614,cho@cho-va.com,"22180,22181,22182,22183,22185,22124,22027,22081,22082,22116,22118,22119",ANY,"Vienna, Oakton, Dunn Loring, and Merrifield Residents. If you want to pick up food, you must make an appointment; call 703-281-7614. We provide “emergency” food, not long-term food service.",,,,,,,,,,,,,,,N/A,VA
https://penderumc.org/pender-blog/helping-our-neighbors-through-penders-mini-food-pantry/,Pender Mini Food Pantry,12401 Alder Woods Drive,Fairfax,22033,38.87450881,-77.37803003,(703) 278-8023,church.office@penderumc.org,ANY,NONE,A small take-what-you-need food pantry. Open 24/7.,12:00:00 AM,11:59:00 PM,12:00:00 AM,11:59:00 PM,12:00:00 AM,11:59:00 PM,12:00:00 AM,11:59:00 PM,12:00:00 AM,11:59:00 PM,12:00:00 AM,11:59:00 PM,12:00:00 AM,11:59:00 PM,N/A,VA
